"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2009","Latvia","Terajoule","All products","Gross inland consumption","188,799",""
"2009","Lithuania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","8,473.8",""
"2009","Lithuania","Terajoule","All products","Gross inland consumption","354,780",""
"2009","Luxembourg","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,364.3",""
"2009","Luxembourg","Terajoule","All products","Gross inland consumption","182,724",""
"2009","Hungary","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","25,134.2",""
"2009","Hungary","Terajoule","All products","Gross inland consumption","1,052,319",""
"2009","Malta","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","870.4",""
"2009","Malta","Terajoule","All products","Gross inland consumption","36,441",""
"2009","Netherlands","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","80,680.6",""
"2009","Netherlands","Terajoule","All products","Gross inland consumption","3,377,933",""
"2009","Austria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","32,137.2",""
"2009","Austria","Terajoule","All products","Gross inland consumption","1,345,522",""
"2009","Poland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","94,490.6",""
"2009","Poland","Terajoule","All products","Gross inland consumption","3,956,133",""
"2009","Portugal","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","25,067.9",""
"2009","Portugal","Terajoule","All products","Gross inland consumption","1,049,542",""
"2009","Romania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","35,554.7",""
"2009","Romania","Terajoule","All products","Gross inland consumption","1,488,606",""
"2009","Slovenia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","7,151.0",""
"2009","Slovenia","Terajoule","All products","Gross inland consumption","299,397",""
"2009","Slovakia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","16,770.1",""
"2009","Slovakia","Terajoule","All products","Gross inland consumption","702,132",""
"2009","Finland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","33,915.8",""
"2009","Finland","Terajoule","All products","Gross inland consumption","1,419,987",""
"2009","Sweden","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","45,454.2",""
"2009","Sweden","Terajoule","All products","Gross inland consumption","1,903,075",""
"2009","United Kingdom","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","206,628.2",""
"2009","United Kingdom","Terajoule","All products","Gross inland consumption","8,651,110",""
"2009","Iceland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","5,832.1",""
"2009","Iceland","Terajoule","All products","Gross inland consumption","244,177",""
"2009","Norway","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","31,668.0",""
"2009","Norway","Terajoule","All products","Gross inland consumption","1,325,876",""
"2009","Montenegro","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","962.3",""
"2009","Montenegro","Terajoule","All products","Gross inland consumption","40,291",""
"2009","Former Yugoslav Republic of Macedonia, the","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,759.9",""
"2009","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Gross inland consumption","115,550",""
"2009","Albania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,149.1",""
