"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2010","Andel av befolkningen (prosent) 2011","Andel av befolkningen (prosent) 2012","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Irland",640,727,824,916,991,1033,1076,1079,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Italia",1992,2230,2513,2890,3271,3699,4096,4304,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.08
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Jersey",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kosovo",12719,13303,13700,14064,14408,14715,14959,15328,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kroatia",3244,3327,3451,3612,3699,4066,4501,4917,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Latvia",2856,4979,6973,8502,9460,10332,10870,11072,0.06,0.10,0.14,0.17,0.19,0.20,0.21,0.21
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Liechtenstein",22,26,26,25,25,24,24,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Litauen",10341,16309,23941,30540,35546,39305,41626,42491,0.21,0.33,0.48,0.60,0.70,0.76,0.80,0.81
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Luxembourg",37,37,36,37,40,40,43,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Makedonia",3117,3244,3364,3482,3595,3729,3875,4037,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Malta",47,59,58,71,77,81,81,84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Man",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Moldova",323,376,443,558,696,842,1017,1114,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Monaco",8,11,12,12,11,10,12,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Montenegro",350,375,405,428,460,510,574,602,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nederland",6926,7251,7557,7858,8062,8418,8596,8595,0.14,0.15,0.15,0.16,0.16,0.16,0.16,0.16
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Polen",52125,60610,72103,82601,91179,99424,105725,108255,1.07,1.23,1.45,1.64,1.78,1.92,2.03,2.06
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Portugal",1079,1226,1557,1967,2560,2984,3287,3473,0.02,0.02,0.03,0.04,0.05,0.06,0.06,0.07
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Romania",4533,5670,6869,8666,11068,13156,14928,15664,0.09,0.12,0.14,0.17,0.22,0.25,0.29,0.30
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Russland",14873,15880,16833,17944,18770,19414,20012,20444,0.31,0.32,0.34,0.36,0.37,0.38,0.38,0.39
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","San Marino",6,7,7,7,7,7,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Serbia",2748,2987,3278,3741,4253,4853,5633,6396,0.06,0.06,0.07,0.07,0.08,0.09,0.11,0.12
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Serbia og Montenegro",279,0,0,0,0,0,0,0,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
